partido,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Auxílio-Moradia-2019,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Escritório(s) de Apoio-2019,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Gabinete-2019,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,Imóvel Funcional-2019,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,TotalGabinete-2019,gastos,gastos2015,gastos2016,gastos2017,gastos2018,gastos2019
MDB,29.92,17,10,7,0,263,267,308,337,329,365,366,361,365,374,115.83,132,146,156,0,628,633,669,702,703,22968268.29,5168485.73,5551395.65,6474080.43,5750641.32,23665.16
PSDB,37.00,38,27,24,0,137,142,164,176,175,237,228,187,185,215,85.17,113,121,119,0,374,370,351,361,390,17716204.78,4336153.55,4758062.00,4649472.84,3944348.53,28167.85
PT,55.00,34,24,13,0,193,168,202,193,170,140,125,134,114,127,44.00,74,84,84,0,333,293,336,307,297,16613237.56,3986506.96,4407091.37,4310293.19,3894862.19,14483.85
PP,11.00,17,24,27,0,132,151,164,146,137,99,118,112,86,88,29.00,36,36,30,0,231,269,276,232,225,9036997.83,1985400.75,2331558.65,2522704.19,2197177.84,156.40
PODE,0.00,0,0,0,0,96,92,85,80,80,108,92,101,99,101,20.00,24,24,22,0,204,184,186,179,181,7168598.32,1798366.96,1928504.99,1857581.12,1582527.15,1618.10
PSD,10.00,12,12,12,0,60,61,61,66,64,89,86,94,90,90,31.00,36,36,36,0,149,147,155,156,154,6695884.32,1483960.04,1657092.57,1801479.90,1738239.85,15111.96
DEM,12.00,21,12,12,0,94,69,93,105,79,93,90,110,99,78,14.92,24,24,24,0,187,159,203,204,157,6274813.29,1528868.86,1645229.45,1797720.22,1290593.49,12401.27
PSB,0.00,0,1,3,0,100,109,116,115,114,77,65,71,59,58,44.00,48,48,47,0,177,174,187,174,172,6252958.75,1539273.55,1517537.66,1713647.43,1477714.99,4785.12
PR,11.00,19,24,28,0,88,93,93,89,79,78,78,91,80,90,22.00,24,24,24,0,166,171,184,169,169,6057047.58,1375589.96,1703251.54,1562412.19,1404063.72,11730.17
PDT,11.00,23,25,22,0,39,56,78,39,39,38,59,76,49,47,1.83,0,0,0,0,77,115,154,88,86,4527804.12,890541.83,1133750.98,1355314.09,1147729.71,467.51
PTB,10.08,10,0,2,0,53,15,53,50,48,40,68,33,36,36,11.00,17,21,21,0,93,83,86,86,84,3240453.73,775950.61,783276.79,895322.22,785889.91,14.20
PRB,11.00,21,24,24,0,25,12,57,61,60,15,28,34,30,31,0.00,0,0,0,0,40,40,91,91,91,2872326.56,417602.39,610120.12,962058.80,881434.07,1111.18
PCdoB,0.00,0,0,0,0,36,43,43,45,45,19,20,18,18,16,11.00,12,12,12,0,55,63,61,63,61,2191961.81,532867.79,528858.38,563688.08,564683.52,1864.04
PTC,0.00,0,0,0,0,0,0,31,32,32,77,78,50,21,20,11.00,12,12,12,0,77,78,81,53,52,1904829.37,438959.11,537064.71,431015.35,497739.56,50.64
REDE,0.00,0,0,0,0,22,30,35,37,36,15,13,13,12,12,11.00,12,12,12,0,37,43,48,49,48,1882357.31,484336.09,532351.48,450742.29,414740.17,187.28
PROS,0.00,0,0,0,0,0,19,30,0,0,79,57,46,61,57,0.00,0,0,0,0,79,76,76,61,57,1152997.53,243355.52,300146.29,332663.38,276715.34,117.00
S/Partido,20.17,7,1,2,0,36,0,0,12,12,37,9,10,22,22,0.00,0,0,0,0,73,9,10,34,34,675751.89,478465.99,138176.87,4146.17,35863.43,19099.43
PPS,0.00,0,0,0,0,0,0,0,0,0,25,27,26,26,26,0.00,0,0,0,0,25,27,26,26,26,308192.31,27273.75,125392.13,91630.57,63630.12,265.74
PRTB,0.00,0,0,4,0,0,0,11,0,0,0,0,32,0,0,0.00,0,0,0,0,0,0,43,0,0,160101.74,0.00,0.00,30225.73,129876.01,0.00
PV,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,124154.34,0.00,0.00,0.00,124154.34,0.00
PSC,0.00,2,0,0,0,0,19,0,0,0,0,14,0,0,0,0.00,0,0,0,0,0,33,0,0,0,47161.41,0.00,47161.41,0.00,0.00,0.00
PSL,0.00,0,0,2,0,0,0,0,28,28,0,0,0,14,14,0.00,0,0,0,0,0,0,0,42,42,38622.64,0.00,0.00,0.00,38235.48,387.16
PPL,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
PSOL,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
